TILL_RECEIPT_NUMBER,sales,cost,quantity,grocery,dairy,produce,meat,frozen,deli,hba,horticulture,bread,CU_GENDER,CU_AGE_RANGE
4175,13.85,0,3,0,0,0,0,0,0,0,0,0,M,60+
4182,5.99,0,1,0,0,0,0,0,0,0,0,0,F,30-39
4197,31.73,5.91,4,0,0,0,0,0,0,0,0,0,F,30-39
4199,8.35,0,2,0,0,0,0,0,0,0,0,0,M,60+
4203,32.95,0,4,0,0,0,0,0,0,0,0,0,F,20-29
4211,14.75,0,2,0,0,0,0,0,0,0,0,0,M,Under 19
4212,10.8,5.48,5,0,0,0,0,0,0,0,0,0,F,60+
4213,60.65,0,11,0,0,0,0,0,0,0,0,0,M,60+
4215,0,0,1,0,0,0,0,0,0,0,0,0,F,60+
4224,22.6,0,1,0,0,0,0,0,0,0,0,0,F,50-59
4234,8,0,1,0,0,0,0,0,0,0,0,0,M,50-59
4236,31.69,5.21,2,0,0,0,0,0,0,0,0,0,M,60+
4247,0,0,1,0,0,0,0,0,0,0,0,0,M,60+
4248,0,0,1,0,0,0,0,0,0,0,0,0,F,60+
4253,53.86,10.77,3,0,0,0,0,0,0,0,0,0,F,60+
4254,5.47,6.13,1,0,0,0,0,0,0,0,0,0,F,20-29
4263,33.6,0,2,0,0,0,0,0,0,0,0,0,F,30-39
4265,0,0,1,0,0,0,0,0,0,0,0,0,M,20-29
4266,23.51,0,4,0,0,0,0,0,0,0,0,0,F,60+
4267,2,0,2,0,0,0,0,0,0,0,0,0,F,30-39
4273,3.3,0,1,0,0,0,0,0,0,0,0,0,M,50-59
4275,6.81,0,1,0,0,0,0,0,0,0,0,0,F,60+
4276,12.3,0,1,0,0,0,0,0,0,0,0,0,M,60+
4278,0,0,1,0,0,0,0,0,0,0,0,0,F,40-49
4282,129.43,0,2,0,0,0,0,0,0,0,0,0,F,60+
4285,8.92,0,2,0,0,0,0,0,0,0,0,0,F,60+
4289,50.23,0,1,0,0,0,0,0,0,0,0,0,F,40-49
4290,20.86,0,1,0,0,0,0,0,0,0,0,0,F,60+
4291,19.39,0,2,0,0,0,0,0,0,0,0,0,M,60+
4292,30.1,0,1,0,0,0,0,0,0,0,0,0,F,30-39
4293,37.3,0,2,0,0,0,0,0,0,0,0,0,F,30-39
4294,35.69,0,2,0,0,0,0,0,0,0,0,0,M,40-49
4299,14,0,5,0,0,0,0,0,0,0,0,0,M,40-49
4300,0,0,1,0,0,0,0,0,0,0,0,0,F,60+
4301,32.73,0,2,0,0,0,0,0,0,0,0,0,F,60+
4302,4,0,2,0,0,0,0,0,0,0,0,0,M,50-59
4303,48.33,0,5,0,0,0,0,0,0,0,0,0,F,60+
4306,0,0,1,0,0,0,0,0,0,0,0,0,F,30-39
4309,0,0,1,0,0,0,0,0,0,0,0,0,F,60+
4317,213.23,4.64,11,0,0,0,0,0,0,0,0,0,F,30-39
4321,6.07,0,3,0,0,0,0,0,0,0,0,0,F,60+
4322,0,0,2,0,0,0,0,0,0,0,0,0,M,60+
4323,20.74,0,1,0,0,0,0,0,0,0,0,0,F,40-49
4326,41.83,0,3,0,0,0,0,0,0,0,0,0,M,Under 19
4327,28.52,0,1,0,0,0,0,0,0,0,0,0,F,60+
4333,0,0,1,0,0,0,0,0,0,0,0,0,F,50-59
4335,53.98,0,3,0,0,0,0,0,0,0,0,0,F,60+
4337,0,0,1,0,0,0,0,0,0,0,0,0,M,60+
4338,16.59,4.33,3,0,0,0,0,0,0,0,0,0,F,50-59
4339,5.5,0,2,0,0,0,0,0,0,0,0,0,F,40-49
4347,82.93,0,1,0,0,0,0,0,0,0,0,0,F,60+
4349,23.37,0,1,0,0,0,0,0,0,0,0,0,F,50-59
4354,0,0,1,0,0,0,0,0,0,0,0,0,F,50-59
4355,0,0,1,0,0,0,0,0,0,0,0,0,F,60+
4356,25.79,0.73,2,0,0,0,0,0,0,0,0,0,F,40-49
4364,12.67,0,1,0,0,0,0,0,0,0,0,0,F,40-49
4367,61.77,0,3,0,0,0,0,0,0,0,0,0,F,60+
4370,0,0,3,0,0,0,0,0,0,0,0,0,F,60+
4375,103,0,3,0,0,0,0,0,0,0,0,0,M,40-49
4376,158.09,0,1,0,0,0,0,0,0,0,0,0,F,60+
4382,32.65,0,7,0,0,0,0,0,0,0,0,0,F,20-29
4385,5.79,4.92,1,0,0,0,0,0,0,0,0,0,F,60+
4394,5.19,4.11,5,0,0,0,0,0,0,0,0,0,M,30-39
4396,14.53,0,1,0,0,0,0,0,0,0,0,0,F,60+
4397,0,0,7,0,0,0,0,0,0,0,0,0,M,50-59
4409,26.44,2.89,3,0,0,0,0,0,0,0,0,0,F,40-49
4410,210.92,0,2,0,0,0,0,0,0,0,0,0,F,60+
4413,43.85,0,2,0,0,0,0,0,0,0,0,0,F,30-39
4418,27.73,0,1,0,0,0,0,0,0,0,0,0,M,60+
4419,25,0,1,0,0,0,0,0,0,0,0,0,M,60+
4420,20.86,0,1,0,0,0,0,0,0,0,0,0,F,40-49
4421,13.75,0,2,0,0,0,0,0,0,0,0,0,M,60+
4422,9.35,0,4,0,0,0,0,0,0,0,0,0,M,60+
4423,0,0,1,0,0,0,0,0,0,0,0,0,F,60+
4425,6.6,0,2,0,0,0,0,0,0,0,0,0,F,30-39
4433,38.86,0.6,3,0,0,0,0,0,0,0,0,0,M,60+
4436,234.13,0,1,0,0,0,0,0,0,0,0,0,F,60+
4437,6.75,0,1,0,0,0,0,0,0,0,0,0,F,60+
4443,10.82,0,2,0,0,0,0,0,0,0,0,0,F,60+
4447,15.77,5.79,2,0,0,0,0,0,0,0,0,0,M,20-29
4454,25,0,1,0,0,0,0,0,0,0,0,0,F,60+
4459,21.08,8.42,3,0,0,0,0,0,0,0,0,0,F,30-39
4460,104.44,0,1,0,0,0,0,0,0,0,0,0,M,50-59
4466,25.97,5.67,7,0,0,0,0,0,0,0,0,0,F,60+
4469,23.98,0,1,0,0,0,0,0,0,0,0,0,F,20-29
4470,10.81,0,2,0,0,0,0,0,0,0,0,0,M,20-29
65252,16.98,11.9,2,0,0,0,0,0,0,0,16.98,0,F,60+
65286,14.99,8.45,1,0,0,0,0,0,0,0,14.99,0,F,60+
65295,27.94,13.68,6,0,0,0,0,0,0,0,27.94,0,F,60+
65297,93.72,51.76,7,0,0,0,0,0,0,0,93.72,0,F,Under 19
65310,19.9,13,1,0,0,0,0,0,0,0,19.9,0,M,60+
65339,13.98,9.3,2,0,0,0,0,0,0,0,0,0,F,60+
65344,131.46,29.55,7,0,0,0,0,0,0,0,131.46,0,F,60+
65345,8.73,4.23,2,0,0,0,0,0,0,0,8.73,0,F,60+
65349,8.89,4.47,4,0,0,0,0,0,0,0,8.89,0,F,60+
65352,32.58,17.14,5,0,0,0,0,0,0,0,32.58,0,F,40-49
65359,23.96,8.36,3,0,0,0,0,0,0,0,23.96,0,F,60+
65360,26.97,23.77,8,0,0,0,0,0,0,0,26.97,0,F,30-39
65363,47.9,11,2,0,0,0,0,0,0,0,47.9,0,F,60+
65365,17.72,11.72,2,0,0,0,0,0,0,0,17.72,0,M,60+
65367,47.95,29.23,5,0,0,0,0,0,0,0,47.95,0,F,30-39
65370,43.91,14.23,5,0,0,0,0,0,0,0,43.91,0,F,50-59
65371,10.99,7.1,1,0,0,0,0,0,0,0,10.99,0,F,50-59
65376,29.7,16.02,3,0,0,0,0,0,0,0,29.7,0,F,60+
65379,19.4,9.4,2,0,0,0,0,0,0,0,19.4,0,M,40-49
65381,132.95,57.63,5,0,0,0,0,0,0,0,132.95,0,F,50-59
65386,38.8,18.8,2,0,0,0,0,0,0,0,38.8,0,F,50-59
65387,46.38,29,8,0,0,0,0,0,0,0,46.38,0,F,40-49
65389,28.66,15.62,5,0,0,0,0,0,0,0,28.66,0,F,60+
65390,98.79,56.17,13,0,0,0,0,0,0,0,98.79,0,F,60+
65391,7.91,4.24,3,0,0,0,0,0,0,0,7.91,0,F,40-49
65392,21.41,16.77,3,0,0,0,0,0,0,0,21.41,0,M,40-49
65393,48.78,32.42,9,0,0,0,0,0,0,0,48.78,0,F,40-49
65394,52.76,33.24,6,0,0,0,0,0,0,0,52.76,0,F,60+
65397,77.79,40.11,10,0,0,0,0,0,0,0,77.79,0,M,40-49
65399,6.47,3.89,3,0,0,0,0,0,0,0,8.47,0,M,60+
65400,29.99,17.95,1,0,0,0,0,0,0,0,29.99,0,F,Under 19
65403,14.94,9.09,2,0,0,0,0,0,0,0,14.94,0,F,60+
65405,83.58,43.9,9,0,0,0,0,0,0,0,83.58,0,F,30-39
65408,40.77,23.69,9,0,0,0,0,0,0,0,40.77,0,F,40-49
65411,6.92,3.8,4,0,0,0,0,0,0,0,6.92,0,F,50-59
65412,3.99,5.1,1,0,0,0,0,0,0,0,3.99,0,F,50-59
65413,4.98,2.6,1,0,0,0,0,0,0,0,4.98,0,F,40-49
65414,8.99,4.47,1,0,0,0,0,0,0,0,8.99,0,F,50-59
65417,6.48,3.56,2,0,0,0,0,0,0,0,6.48,0,F,40-49
65424,28.29,17.24,6,0,0,0,0,0,0,0,28.29,0,F,50-59
65426,96,54.13,21,0,0,0,0,0,0,0,82.01,0,F,40-49
65428,34.89,21.46,4,0,0,0,0,0,0,0,34.89,0,F,60+
65429,32.36,19.66,6,0,0,0,0,0,0,0,23.38,0,F,50-59
65431,171.7,94.81,10,0,0,0,0,0,0,0,171.7,0,F,40-49
65432,31.95,12.83,5,0,0,0,0,0,0,0,31.95,0,F,60+
65439,43.92,23.98,4,0,0,0,0,0,0,0,43.92,0,F,40-49
65440,40.36,24.74,4,0,0,0,0,0,0,0,40.36,0,F,40-49
65442,92.77,81.06,13,0,0,0,0,0,0,0,92.77,0,F,60+
65451,28.91,18.05,7,0,0,0,0,0,0,0,28.91,0,F,40-49
65452,17.92,9.66,2,0,0,0,0,0,0,0,17.92,0,F,40-49
65454,45.87,24.78,4,0,0,0,0,0,0,0,45.87,0,F,60+
65455,11.3,7.86,3,0,0,0,0,0,0,0,11.3,0,F,60+
65457,69.99,32.89,3,0,0,0,0,0,0,0,69.99,0,F,50-59
65459,37.96,22.4,4,0,0,0,0,0,0,0,37.96,0,F,40-49
65464,20.78,11.04,7,4.14,3.39,0,6.99,0,0,0,5.95,0,M,40-49
65466,152.9,91.41,3,0,0,0,0,0,0,0,152.9,0,M,60+
65467,81.72,56.71,5,0,0,0,0,0,0,0,81.72,0,M,50-59
65468,36.47,18.78,3,0,0,0,0,0,0,0,36.47,0,F,60+
65470,13.86,8.69,3,0,0,0,0,0,0,0,13.86,0,F,60+
65471,7.47,3.9,1,0,0,0,0,0,0,0,7.47,0,F,60+
65472,3.46,0.94,3,0,0,0,0,0,0,0,3.46,0,F,60+
65473,89.97,53.85,1,0,0,0,0,0,0,0,89.97,0,M,60+
65476,47.74,33.31,22,14.95,3,0,9.98,0,0,0,10.41,0,F,40-49
65477,4.98,4.21,2,0,0,0,0,0,0,0,4.98,0,M,60+
65483,98.94,95.82,2,0,0,0,0,0,0,0,98.94,0,F,60+
65484,24,17.88,4,0,0,0,0,0,0,0,24,0,F,60+
65485,53.45,33.22,5,0,0,0,0,0,0,0,53.45,0,F,40-49
65487,154.45,178.85,3,0,0,0,0,0,0,0,154.45,0,F,30-39
65488,32.33,21.55,6,0,0,0,0,0,0,0,32.33,0,F,60+
65489,31.96,19.22,4,0,0,0,0,0,0,0,31.96,0,F,40-49
65491,46.93,7.68,3,0,0,3,0,0,0,0,43.93,0,F,60+
65492,30.96,24.95,4,0,0,0,0,0,0,0,30.96,0,F,50-59
65495,29.9,17.72,6,0,0,0,0,0,0,0,29.9,0,F,60+
65497,24.99,13.8,1,0,0,0,0,0,0,0,24.99,0,F,40-49
65501,36.73,20.07,4,0,0,0,0,0,0,0,36.73,0,F,50-59
65502,18.63,9.57,3,0,0,0,0,0,0,0,18.63,0,M,50-59
65504,65.77,40.48,4,0,0,0,0,0,0,0,65.77,0,F,20-29
65505,117.99,53.05,1,0,0,0,0,0,0,0,117.99,0,M,30-39
65509,521.86,230.06,2,0,0,0,0,0,0,0,521.86,0,F,60+
65511,12,8.94,1,0,0,0,0,0,0,0,12,0,F,50-59
65514,17.17,8.6,3,0,0,0,0,0,0,0,17.17,0,M,30-39
65515,19.42,9.36,7,0,0,0,0,0,0,0,19.42,0,F,50-59
65518,18.32,5.59,9,0,0,0,0,0,0,0,18.32,0,F,30-39
65519,19.96,12.34,4,0,0,0,0,0,0,0,19.96,0,F,Under 19
65520,9.45,4.75,1,0,0,0,0,0,0,0,9.45,0,M,40-49
65521,17.91,9.9,1,0,0,0,0,0,0,0,17.91,0,F,40-49
65522,16.98,9.9,3,0,0,0,0,0,0,0,16.98,0,F,40-49
65523,19.75,12.02,5,0,0,0,0,0,0,0,19.75,0,F,20-29
65524,29.99,2.57,1,0,0,0,0,0,0,0,29.99,0,F,20-29
65525,3.98,3.98,1,0,0,0,0,0,0,0,3.98,0,F,50-59
65526,12.97,7.2,3,0,0,0,0,0,0,0,12.97,0,F,20-29
65530,29.96,15.94,2,0,0,0,0,0,0,0,29.96,0,M,50-59
65531,6.79,3.29,2,0,0,0,0,0,0,0,6.79,0,F,50-59
65535,0.97,0.47,2,0,0,0,0,0,0,0,0.97,0,F,60+
65538,29.87,47.17,4,0,0,0,0,0,0,0,29.87,0,F,60+
65539,118.84,221.4,6,0,0,0,0,0,0,0,90.88,0,F,50-59
65541,6.97,10.12,2,0,0,0,0,0,0,0,6.97,0,F,60+
65544,12.49,8.75,1,0,0,0,0,0,0,0,12.49,0,F,60+
65545,11.94,11.94,1,0,0,0,0,0,0,0,11.94,0,F,60+
65548,38.46,23.22,4,0,0,0,0,0,0,0,38.46,0,M,60+
65550,84.35,32.51,4,0,0,0,0,0,0,0,77.36,0,M,60+
65559,44.85,29.25,1,0,0,0,0,0,0,0,44.85,0,M,60+
65560,12.65,6.93,5,0,0,0,0,0,0,0,12.65,0,F,50-59
65562,1.99,0.01,1,0,0,0,0,0,0,0,1.99,0,F,60+
65563,54.44,35.05,6,0,0,0,0,0,0,0,40.46,0,F,50-59
65564,59.8,38.64,3,0,0,0,0,0,0,0,59.8,0,F,40-49
65569,33.9,30.21,6,3.59,0,0,0,0,0,0,30.31,0,F,50-59
65573,182.46,85.58,4,0,0,0,0,0,0,0,182.46,0,F,50-59
65576,40.95,22.35,5,0,0,0,0,0,0,0,40.95,0,M,30-39
65577,29.86,17.1,2,0,0,0,0,0,0,0,29.86,0,F,40-49
65578,23.94,5.04,1,0,0,0,0,0,0,0,23.94,0,F,60+
65580,20.98,14.5,3,0,0,0,0,0,0,0,20.98,0,F,60+
65581,7.96,3.2,1,0,0,0,0,0,0,0,7.96,0,F,40-49
65586,62.47,4.34,2,0,0,0,0,0,0,0,62.47,0,M,30-39
65588,47.87,30.87,3,0,0,0,0,0,0,0,47.87,0,F,60+
65590,13.93,149.1,1,0,0,0,0,0,0,0,13.93,0,M,60+
65591,107.98,64.98,2,0,0,0,0,0,0,0,107.98,0,F,20-29
65597,3.98,2.68,1,0,0,0,0,0,0,0,3.98,0,F,50-59
65600,19.94,11.9,4,0,0,0,0,0,0,0,19.94,0,F,Under 19
65605,150.46,92.29,5,0,0,0,0,0,0,0,150.46,0,M,60+
65608,13.93,8.29,6,0,0,0,0,0,0,0,13.93,0,F,40-49
65615,10.8,7.3,3,0,0,0,0,0,0,0,10.8,0,M,50-59
65617,28.77,18.58,9,0,0,0,0,0,0,0,28.77,0,F,60+
65619,12.99,9,2,0,0,0,0,0,0,0,12.99,0,F,60+
65624,48.11,14.64,4,0,0,9.16,0,0,0,0,38.95,0,F,40-49
65625,22.44,15.7,2,0,0,0,0,0,0,0,22.44,0,F,Under 19
65627,10.26,5.05,3,0,0,0,0,0,0,0,10.26,0,F,60+
65628,0.97,0.47,2,0,0,0,0,0,0,0,0.97,0,F,50-59
65629,86.97,35.99,3,0,0,0,0,0,0,0,86.97,0,F,60+
65631,111.94,12.1,6,0,0,0,0,0,0,0,111.94,0,F,60+
65632,87.58,73.58,4,0,0,0,0,0,0,0,87.58,0,F,30-39
65633,230.6,88.6,10,0,0,0,0,0,0,0,230.6,0,F,30-39
65637,36.99,18.25,1,0,0,0,0,0,0,0,36.99,0,F,40-49
65640,1.94,0.94,2,0,0,0,0,0,0,0,1.94,0,F,50-59
65641,7.47,6.65,3,0,0,0,0,0,0,0,7.47,0,F,60+
65643,29.98,21.78,3,0,0,0,0,0,0,0,29.98,0,F,60+
65644,9.96,5.2,1,0,0,0,0,0,0,0,9.96,0,M,60+
65646,74.92,39.5,7,0,0,0,0,0,0,0,64.93,0,F,20-29
65647,77.51,49.91,12,0,1.99,0,0,0,0,20.98,54.41,0,F,20-29
65650,39.94,8.55,2,0,0,0,0,0,0,0,39.94,0,F,60+
65653,14.99,8.5,1,0,0,0,0,0,0,0,14.99,0,F,50-59
65658,55.92,32.8,1,0,0,0,0,0,0,0,55.92,0,F,40-49
65659,7.47,5.97,1,0,0,0,0,0,0,0,7.47,0,M,60+
65660,77.95,50.78,5,0,0,0,0,0,0,0,77.95,0,F,30-39
65661,79.93,13.65,2,0,0,0,0,0,0,0,79.93,0,F,30-39
65671,59.97,33.87,3,0,0,0,0,0,0,0,59.97,0,F,40-49
65676,79.87,43.39,4,0,0,0,0,0,0,0,79.87,0,F,Under 19
65678,2.49,2.4,1,0,0,0,0,0,0,0,2.49,0,F,50-59
65679,2.99,1.95,1,0,0,0,0,0,0,0,2.99,0,F,Under 19
65680,9.99,5.75,1,0,0,0,0,0,0,0,9.99,0,F,40-49
65681,14.96,8.13,2,0,0,0,0,0,0,0,5.97,0,M,60+
65683,231.97,104.66,3,0,0,0,0,0,0,0,231.97,0,M,60+
65685,38.83,268.85,2,0,0,0,0,0,0,0,38.83,0,F,60+
65693,258.97,117.87,4,0,0,0,0,0,0,0,258.97,0,F,Under 19
65695,98.83,114.95,6,0,0,0,0,0,0,0,98.83,0,M,50-59
65696,63.96,59.8,3,9.99,0,0,0,0,0,0,0,0,M,20-29
65699,9.99,5.75,1,0,0,0,0,0,0,0,9.99,0,F,Under 19
65701,78.98,38.14,3,0,0,0,0,0,0,0,78.98,0,F,40-49
65714,98.77,32.67,5,0,0,0,0,0,0,0,98.77,0,F,20-29
65716,89.91,57.6,1,0,0,0,0,0,0,0,89.91,0,F,50-59
65726,149.98,67.7,1,0,0,0,0,0,0,0,149.98,0,F,40-49
65727,7,4.8,1,0,0,0,0,0,0,0,7,0,F,40-49
65729,117.89,64.75,6,0,0,0,0,0,0,0,117.89,0,F,40-49
65730,87.98,40.09,4,0,0,0,0,0,0,0,87.98,0,F,60+
65734,153.69,97.14,11,0,0,0,0,0,0,0,153.69,0,M,50-59
65738,103.8,62.56,7,0,0,0,0,0,0,0,75.82,0,F,40-49
65753,29.9,18.62,6,0,0,0,0,0,0,0,29.9,0,F,60+
65757,36.96,21.79,4,0,0,0,0,0,0,0,36.96,0,F,50-59
65759,64.96,11.54,4,0,0,0,0,0,0,0,64.96,0,F,60+
65761,27.99,16.5,1,0,0,0,0,0,0,0,27.99,0,F,50-59
65763,36.98,19.3,2,0,0,0,0,0,0,0,36.98,0,F,40-49
65764,29.99,10.85,1,0,0,0,0,0,0,0,29.99,0,F,60+
65768,29.99,10.85,1,0,0,0,0,0,0,0,29.99,0,F,60+
65772,62.99,28.09,1,0,0,0,0,0,0,0,62.99,0,F,30-39
65773,147.42,137.73,15,0,4.99,0,0,0,0,0,142.11,0,F,20-29
65780,36.96,23.57,4,0,0,0,0,0,0,0,36.96,0,F,40-49
65785,13.78,8.75,3,0,0,0,0,0,0,0,13.78,0,F,40-49
65788,83.99,37.69,1,0,0,0,0,0,0,0,83.99,0,F,50-59
65791,17.43,13.93,1,0,0,0,0,0,0,0,17.43,0,F,40-49
65792,102.94,59,6,0,0,0,0,0,0,0,102.94,0,F,60+
65794,18.98,10.22,2,0,0,0,0,0,0,0,18.98,0,F,50-59
65795,36.58,9.04,2,0,0,0,0,0,0,0,29.99,0,F,Under 19
65796,15.98,8.94,2,0,0,0,0,0,0,0,15.98,0,M,50-59
65799,14.97,9.15,2,0,0,0,0,0,0,0,14.97,0,F,60+
65810,32.9,22.14,3,0,0,0,0,0,0,0,32.9,0,F,30-39
65813,22.54,11.25,5,0,0,0,0,0,0,0,22.54,0,F,60+
65814,106.76,69.22,5,0,0,0,0,0,0,0,106.76,0,M,60+
65815,176.91,99.57,2,0,0,0,0,0,0,0,176.91,0,F,Under 19
65816,53.82,77.1,1,0,0,0,0,0,0,0,53.82,0,F,60+
65817,85.9,103.9,9,0,0,0,0,0,0,0,85.9,0,F,60+
65818,14.99,7.49,1,0,0,0,0,0,0,0,14.99,0,F,40-49
65819,50.23,34.45,8,0,0,0,0,0,0,0,50.23,0,F,30-39
65820,53.79,12.7,10,0,0,0,0,0,0,0,53.79,0,F,30-39
65830,44.97,25.5,1,0,0,0,0,0,0,0,44.97,0,F,60+
65832,7.98,17,2,0,0,0,0,0,0,0,7.98,0,M,60+
65835,9.95,9.95,2,0,0,0,0,0,0,0,9.95,0,F,50-59
65836,14.99,8.75,1,0,0,0,0,0,0,0,14.99,0,F,50-59
65839,26.95,36.75,3,0,0,0,0,0,0,0,26.95,0,F,50-59
65842,26.91,36.75,2,0,0,0,0,0,0,0,26.91,0,M,50-59
65843,109.92,68.82,5,0,0,0,0,0,0,0,109.92,0,F,50-59
65845,86.45,38.86,5,0,0,0,0,0,0,0,86.45,0,M,40-49
65846,4.49,2.4,1,0,0,0,0,0,0,0,4.49,0,F,60+
65854,177.07,89.07,4,0,0,0,0,0,0,0,177.07,0,F,50-59
65855,7.98,3.98,2,0,0,0,0,0,0,0,7.98,0,F,60+
65857,29.99,2.3,1,0,0,0,0,0,0,0,29.99,0,F,40-49
65858,27.98,17.88,8,0,0,0,0,0,0,0,27.98,0,F,40-49
65860,32.44,16.19,5,0,0,0,0,0,0,0,32.44,0,F,60+
65863,107.83,79.05,4,0,0,0,0,0,0,0,107.83,0,M,40-49
65871,81.78,54.54,4,0,0,0,0,0,0,0,81.78,0,F,40-49
65872,31.47,21.36,9,0,0,0,0,0,0,0,31.47,0,F,60+
65873,14.99,7.49,1,0,0,0,0,0,0,0,14.99,0,F,40-49
65875,47.94,20.82,5,0,0,0,0,0,0,0,47.94,0,F,60+
65876,42.95,43.38,4,0,0,0,0,0,0,0,42.95,0,F,50-59
65877,153.34,105.12,15,0,0,0,0,0,0,0,153.34,0,F,50-59
65880,76.87,118.87,4,0,0,0,0,0,0,0,76.87,0,F,50-59
65885,81.69,46.98,12,17.27,9.16,0,0,4.99,0,0,49.95,0,F,30-39
65886,12.45,8.29,2,0,0,0,0,0,0,0,12.45,0,F,50-59
65888,45.88,20.63,2,0,0,0,0,0,0,0,45.88,0,M,40-49
65889,30.92,15.9,8,0,0,0,0,0,0,0,30.92,0,M,40-49
65898,228.95,97.83,5,0,0,0,0,0,0,0,228.95,0,F,40-49
65899,50.91,33.48,9,0,0,0,0,0,0,0,50.91,0,F,30-39
65903,21.64,14.95,6,0,0,0,0,0,0,0,21.64,0,F,40-49
74976,23.54,19.87,10,5.78,0,4.75,12.7,0,0,0,0,0,M,30-39
74981,67.36,43.29,6,11.37,0,0,0,0,10,0,0,0,F,20-29
74982,47.72,46.05,12,9.48,0,0,8.49,10.7,0,0,0,9.58,F,30-39
74983,27.49,24.3,8,0,2.49,0,25,0,0,0,0,0,F,30-39
74987,190.71,140.67,51,61.03,30.74,27.49,24.8,33.73,0,0,0,3.99,F,40-49
74990,187.21,141.42,57,44.8,59.78,0,19.48,16.98,9.22,0,0,7.29,F,40-49
